<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
AMDRUB_TOD;M;20221201;000000;16.25;16.25;16.25;16.25;30000000;0
AMDRUB_TOM;M;20221001;000000;15;16.8;13.85;16.25;161830000;0
AMDRUB_TOM;M;20221101;000000;15.835;16.79;15.215;15.99;341800000;0
AMDRUB_TOM;M;20221201;000000;16.29;16.3;15.76;16.1375;535250000;0
BYNRUB_TOD;M;20221001;000000;24.05;24.9325;24.05;24.74;1585000;0
BYNRUB_TOD;M;20221101;000000;25.305;25.305;25.14;25.195;1060000;0
BYNRUB_TOD;M;20221201;000000;25.295;25.49;25.295;25.39;191000;0
BYNRUB_TOM;M;20221001;000000;24.4525;27.7875;23.3325;25.19;208452000;0
BYNRUB_TOM;M;20221101;000000;25.2025;25.5;24.995;25.135;333408000;0
BYNRUB_TOM;M;20221201;000000;25.22;25.65;25.14;25.34;115182000;0
CNY_TODTOM;M;20221001;000000;0.005;0.0055;-0.007999;0.001706;393958200000;0
CNY_TODTOM;M;20221101;000000;0.00065;0.010135;0.0001;0.001621;550622000000;0
CNY_TODTOM;M;20221201;000000;0.001685;0.00547;1E-05;0.001745;233450900000;0
CNY_TOM1M;M;20221001;000000;0.05;0.05;0.05;0.05;500000000;0
CNY_TOM1W;M;20221001;000000;0.0131;0.0133;0.01115;0.0114;32300000000;0
CNY_TOM1W;M;20221101;000000;0.0122;0.0123;0.011;0.011;11505700000;0
CNY_TOM1W;M;20221201;000000;0.011;0.011;0.011;0.011;1300000;0
CNY_TOM2W;M;20221001;000000;0.026;0.026;0.026;0.026;3000000000;0
CNY_TOM2W;M;20221101;000000;0.0243;0.0243;0.02405;0.0243;12000000000;0
CNY_TOM2W;M;20221201;000000;0.0238;0.0238;0.0238;0.0238;6000000000;0
CNY_TOMSPT;M;20221001;000000;0.005132;0.005132;0.005132;0.005132;650000000;0
CNY_TOMSPT;M;20221101;000000;0.005559;0.00591;0.001888;0.0019;460000000;0
CNYRUB_TMS;M;20221001;000000;8.28;8.82;8.03;8.78;10209;0
CNYRUB_TMS;M;20221101;000000;8.132;8.85;8.132;8.531;198674;0
CNYRUB_TMS;M;20221201;000000;8.598;9.1999;8.501;9.1722;98170;0
CNYRUB_TOD;M;20221001;000000;8.57;8.849;8.282;8.412;11621052000;0
CNYRUB_TOD;M;20221101;000000;8.383;8.581;8.359;8.532;14355165000;0
CNYRUB_TOD;M;20221201;000000;8.638;9.069;8.595;9.031;7161561000;0
CNYRUB_TOM;M;20221001;000000;8.355;8.854;8.016;8.385;185253644000;0
